,mol,geom,dlpno,b3lyp-svp,b3lyp-tz,b97-3c,mp2,pbe-svp,pbe,pbeh-3c,wb97x,gfn,gfn2,pm7
122,astex_1oyt,rmsd31-opt,39420.305,702.7769999999999,3322.5190000000002,266.91900000000004,4616.872,255.15200000000002,757.181,1082.172,5675.851,2.7,1.21,0.062
123,astex_1p2y,rmsd11-opt,8451.211,132.761,551.328,52.762,714.78,75.482,153.368,134.075,854.0219999999999,0.73,0.77,0.023
124,astex_1p2y,rmsd12-opt,8262.178,120.773,544.988,52.565,706.49,70.03699999999999,153.89,134.21,871.1619999999999,0.59,0.52,0.023
125,astex_1p2y,rmsd1-opt,7795.224,120.564,542.891,52.533,704.7130000000001,69.837,142.941,134.246,808.201,2.31,0.6,0.023
126,astex_1p2y,rmsd3-opt,7817.2609999999995,120.835,544.422,52.39,704.18,69.854,143.189,138.319,814.143,0.69,0.68,0.023
127,astex_1p2y,rmsd4-opt,7836.224,120.556,545.374,52.339,708.307,70.081,143.043,134.20600000000002,811.704,1.57,0.61,0.027000000000000003
128,astex_1p2y,rmsd5-opt,7993.305,120.647,519.1669999999999,52.48,711.2289999999999,69.905,154.029,134.38299999999998,856.3639999999999,2.57,1.36,0.023
129,astex_1p2y,rmsd6-opt,8333.353000000001,121.302,518.748,52.736999999999995,697.701,70.13600000000001,154.129,134.618,857.547,1.23,0.6,0.027000000000000003
130,astex_1p2y,rmsd7-opt,8558.384,121.145,516.7130000000001,52.522,716.32,70.085,143.377,134.651,812.541,1.84,2.92,0.023
131,astex_1p2y,rmsd8-opt,8415.184000000001,120.44,547.0219999999999,52.643,736.163,70.135,154.58100000000002,134.629,857.443,4.04,0.68,0.023
132,astex_1p2y,rmsd9-opt,8742.96,120.016,545.503,48.348,699.513,69.786,142.97899999999998,133.846,862.023,1.05,0.59,0.023
133,astex_1pmn,rmsd121-opt,53352.062000000005,831.595,3969.991,284.004,6465.4130000000005,294.663,801.127,1057.905,6030.72,2.15,1.57,0.105
134,astex_1pmn,rmsd122-opt,49490.060999999994,829.431,3978.7059999999997,284.755,6465.858,292.026,801.456,1059.634,6130.931,4.55,1.85,0.094
135,astex_1pmn,rmsd146-opt,48499.412000000004,841.564,4024.539,293.297,6532.004,296.845,818.9630000000001,1085.6989999999998,6148.658,7.29,1.62,0.094
136,astex_1pmn,rmsd179-opt,47615.621,836.222,3976.41,286.67400000000004,6724.182,294.126,810.388,1082.798,6104.726,5.14,1.92,0.098
137,astex_1pmn,rmsd194-opt,48632.289000000004,846.237,4012.137,293.366,6572.669,297.957,822.808,1138.6580000000001,6164.46,3.78,3.38,0.094
138,astex_1q1g,rmsd14-opt,17856.976000000002,279.07599999999996,1413.9070000000002,202.433,1835.8339999999998,132.048,308.379,427.14300000000003,2172.717,2.56,0.9,0.039
139,astex_1q1g,rmsd28-opt,20472.917,273.42,1440.8970000000002,204.72099999999998,1869.5339999999999,130.864,318.661,487.64099999999996,2195.514,4.4,2.66,0.043
140,astex_1q1g,rmsd30-opt,18057.781000000003,286.966,1384.9460000000001,202.35299999999998,1742.1370000000002,125.84700000000001,302.033,418.348,2131.742,3.81,0.99,0.039
141,astex_1q1g,rmsd33-opt,18953.571,290.085,1408.4579999999999,205.885,1812.39,131.806,298.621,433.017,2177.803,2.21,1.7,0.039
142,astex_1q1g,rmsd34-opt,18771.701,290.394,1405.818,206.02,1824.3229999999999,127.973,298.126,432.699,2205.67,3.06,0.85,0.043
143,astex_1q1g,rmsd37-opt,20085.215,274.33299999999997,1448.079,206.97,1874.215,131.24200000000002,319.383,508.556,2211.331,3.51,2.95,0.051
144,astex_1q1g,rmsd48-opt,17914.334,285.297,1391.375,203.465,1801.415,126.54899999999999,295.45599999999996,422.296,2145.828,2.99,1.39,0.043
145,astex_1q1g,rmsd52-opt,19095.091,288.591,1403.293,200.465,1818.1989999999998,128.05,299.816,435.556,2166.626,3.66,0.88,0.039
146,astex_1q1g,rmsd57-opt,18793.116,265.19599999999997,1405.983,206.313,1772.4560000000001,128.138,308.959,432.806,2152.981,2.79,0.91,0.043
147,astex_1q1g,rmsd9-opt,18218.338,291.68,1409.985,206.65599999999998,1831.9779999999998,129.11700000000002,313.133,433.56300000000005,2198.5229999999997,3.09,0.86,0.039
148,astex_1r1h,rmsd129-opt,43026.099,623.73,2871.327,228.593,4364.736,225.58,587.83,879.6110000000001,4740.588,4.75,3.27,0.078
149,astex_1r1h,rmsd150-opt,36213.448,623.525,2870.031,226.024,4232.641,222.532,586.488,879.3480000000001,4719.343,4.62,1.36,0.07400000000000001
150,astex_1r1h,rmsd192-opt,32958.346,587.279,2934.454,211.808,4037.5690000000004,218.22299999999998,551.802,794.638,4360.516,3.93,1.31,0.078
151,astex_1r1h,rmsd199-opt,33575.237,619.2869999999999,2870.87,220.143,4107.544,221.267,587.214,885.447,4149.845,6.76,2.8,0.07400000000000001
152,astex_1r1h,rmsd22-opt,34568.093,624.181,2860.423,228.084,4332.052,222.951,593.771,881.258,4604.111,2.87,1.22,0.07400000000000001
153,astex_1r1h,rmsd234-opt,31319.085,586.565,2687.652,202.908,4198.670999999999,208.43200000000002,553.911,806.403,4166.583,3.59,1.86,0.078
154,astex_1r1h,rmsd248-opt,31242.949,578.753,2676.0190000000002,210.34099999999998,4173.045,208.03,549.756,767.9639999999999,4160.906,4.49,2.82,0.07400000000000001
155,astex_1s3v,rmsd117-opt,47087.062000000005,642.724,2744.921,226.34799999999998,3920.8259999999996,280.782,615.513,779.426,4570.255999999999,4.84,1.28,0.062
156,astex_1s3v,rmsd118-opt,41147.977999999996,639.129,2745.913,227.11700000000002,3788.401,280.256,616.3430000000001,776.665,4580.674,5.07,3.13,0.062
157,astex_1s3v,rmsd132-opt,40431.057,640.27,2738.99,226.842,3728.613,280.173,620.155,775.2389999999999,4478.823,4.67,1.98,0.062
158,astex_1s3v,rmsd133-opt,40072.968,637.755,2735.8109999999997,225.99599999999998,3734.355,289.748,620.37,780.742,4246.806,3.27,1.12,0.062
159,astex_1s3v,rmsd134-opt,39796.953,636.106,2739.3759999999997,226.77900000000002,3835.369,294.363,620.894,787.7339999999999,4248.313,7.5,2.25,0.066
160,astex_1s3v,rmsd141-opt,39509.86,635.842,2725.889,227.088,3834.3579999999997,294.024,624.486,793.092,4471.691,5.55,1.26,0.062
161,astex_1sj0,rmsd105-opt,60246.53,890.19,4396.928,303.33299999999997,7041.29,383.139,868.122,1300.678,6795.651,2.19,1.39,0.09
162,astex_1sj0,rmsd109-opt,56783.82,884.612,4381.983,300.89799999999997,6976.935,383.167,873.5369999999999,1238.0739999999998,6771.134,1.63,1.49,0.086
163,astex_1sj0,rmsd116-opt,53691.512,874.153,4329.621,301.144,6915.491999999999,391.457,864.6310000000001,1346.146,6655.99,5.1,1.3,0.08199999999999999
164,astex_1sj0,rmsd119-opt,54379.208,888.498,4374.798,304.44,7028.8640000000005,407.282,887.427,1388.99,6786.83,2.24,2.33,0.086
165,astex_1tt1,rmsd127-opt,10342.886,182.533,834.812,79.14399999999999,1054.748,106.118,203.11900000000003,223.773,1239.749,0.55,0.67,0.027000000000000003
166,astex_1tt1,rmsd191-opt,11632.038,178.47099999999998,829.7239999999999,76.085,1048.628,110.531,196.864,213.52900000000002,1235.2060000000001,1.86,0.85,0.027000000000000003
167,astex_1tt1,rmsd192-opt,11252.18,178.19,830.791,69.735,1046.435,110.383,204.22,211.985,1226.087,4.28,0.67,0.027000000000000003
168,astex_1uou,rmsd20-opt,11860.413999999999,167.458,854.317,69.804,1048.911,107.789,199.65599999999998,194.69400000000002,1278.367,4.98,0.71,0.035
169,astex_1vcj,rmsd115-opt,34736.19,525.616,2457.891,214.875,3863.665,251.783,572.265,762.803,4214.7970000000005,5.28,2.32,0.055
170,astex_1vcj,rmsd13-opt,37266.382000000005,531.322,2695.816,217.46,3990.8070000000002,271.909,581.03,746.8560000000001,4262.198,3.99,1.0,0.055
171,astex_1vcj,rmsd158-opt,38226.692,526.744,2412.516,214.37400000000002,3880.461,270.411,568.655,768.1560000000001,4189.677,3.14,2.49,0.055
172,astex_1vcj,rmsd169-opt,39011.144,531.205,2623.9559999999997,217.123,4009.252,271.526,583.455,734.97,4222.115,1.23,1.1,0.059000000000000004
