CHG_jobs/astex_1pmn/rmsd121-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1pmn/rmsd122-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.034 sec
CHG_jobs/astex_1pmn/rmsd146-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.017 sec
CHG_jobs/astex_1pmn/rmsd179-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.018 sec
CHG_jobs/astex_1pmn/rmsd194-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.018 sec
CHG_jobs/astex_1pmn/rmsd210-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.018 sec
CHG_jobs/astex_1pmn/rmsd53-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.018 sec
CHG_jobs/astex_1pmn/rmsd71-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.018 sec
CHG_jobs/astex_1pmn/rmsd74-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1pmn/rmsd90-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1q1g/rmsd14-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1q1g/rmsd28-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1q1g/rmsd30-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1q1g/rmsd33-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.012 sec
CHG_jobs/astex_1q1g/rmsd34-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1q1g/rmsd37-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1q1g/rmsd48-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1q1g/rmsd52-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1q1g/rmsd57-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.013 sec
CHG_jobs/astex_1q1g/rmsd9-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1r1h/rmsd129-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1r1h/rmsd150-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1r1h/rmsd192-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1r1h/rmsd199-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1r1h/rmsd22-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1r1h/rmsd234-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1r1h/rmsd248-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1r1h/rmsd44-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
CHG_jobs/astex_1r1h/rmsd51-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1r1h/rmsd64-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.014 sec
CHG_jobs/astex_1s3v/rmsd117-opt.xyz * wall-time:     0 d,  0 h,  0 min,  0.015 sec
